testId,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,1424,36.076804,140.214093,10/22/2002,13:30:48,0:00:21
021022K1KA,1425,36.076805,140.214082,10/22/2002,13:30:48,0:00:21
021022K1KA,1427,36.076806,140.214071,10/22/2002,13:30:48,0:00:21
021022K1KA,1429,36.076807,140.21406,10/22/2002,13:30:48,0:00:21
021022K1KA,1431,36.076808,140.214049,10/22/2002,13:30:48,0:00:21
021022K1KA,1433,36.076809,140.214038,10/22/2002,13:30:48,0:00:21
021022K1KA,1435,36.07681,140.214027,10/22/2002,13:30:48,0:00:21
021022K1KA,1437,36.076811,140.214016,10/22/2002,13:30:48,0:00:21
021022K1KA,1439,36.076812,140.214005,10/22/2002,13:30:48,0:00:21
021022K1KA,1441,36.076813,140.213994,10/22/2002,13:30:49,0:00:22
021022K1KA,1442,36.076814,140.213983,10/22/2002,13:30:49,0:00:22
021022K1KA,1444,36.076815,140.213972,10/22/2002,13:30:49,0:00:22
021022K1KA,1446,36.076816,140.213961,10/22/2002,13:30:49,0:00:22
021022K1KA,1448,36.076817,140.21395,10/22/2002,13:30:49,0:00:22
021022K1KA,1450,36.076818,140.213939,10/22/2002,13:30:49,0:00:22
021022K1KA,1452,36.07682,140.213928,10/22/2002,13:30:49,0:00:22
021022K1KA,1453,36.07682,140.213917,10/22/2002,13:30:49,0:00:22
021022K1KA,1454,36.076821,140.213917,10/22/2002,13:30:49,0:00:22
021022K1KA,1456,36.076822,140.213906,10/22/2002,13:30:49,0:00:22
021022K1KA,1458,36.076823,140.213895,10/22/2002,13:30:49,0:00:22
021022K1KA,1460,36.076824,140.213884,10/22/2002,13:30:49,0:00:22
021022K1KA,1462,36.076825,140.213873,10/22/2002,13:30:49,0:00:22
021022K1KA,1464,36.076826,140.213862,10/22/2002,13:30:49,0:00:22
021022K1KA,1466,36.076827,140.213851,10/22/2002,13:30:49,0:00:22
021022K1KA,1468,36.076828,140.21384,10/22/2002,13:30:49,0:00:22
021022K1KA,1469,36.076829,140.213829,10/22/2002,13:30:49,0:00:22
021022K1KA,1471,36.07683,140.213818,10/22/2002,13:30:50,0:00:23
021022K1KA,1473,36.076831,140.213807,10/22/2002,13:30:50,0:00:23
021022K1KA,1475,36.076832,140.213796,10/22/2002,13:30:50,0:00:23
021022K1KA,1477,36.076833,140.213784,10/22/2002,13:30:50,0:00:23
021022K1KA,1479,36.076834,140.213773,10/22/2002,13:30:50,0:00:23
021022K1KA,1481,36.076835,140.213762,10/22/2002,13:30:50,0:00:23
021022K1KA,1483,36.076836,140.213751,10/22/2002,13:30:50,0:00:23
021022K1KA,1485,36.076837,140.21374,10/22/2002,13:30:50,0:00:23
021022K1KA,1487,36.076838,140.213729,10/22/2002,13:30:50,0:00:23
021022K1KA,1489,36.076839,140.213718,10/22/2002,13:30:50,0:00:23
021022K1KA,1491,36.07684,140.213707,10/22/2002,13:30:50,0:00:23
021022K1KA,1493,36.076841,140.213696,10/22/2002,13:30:50,0:00:23
021022K1KA,1495,36.076842,140.213685,10/22/2002,13:30:50,0:00:23
021022K1KA,1497,36.076843,140.213674,10/22/2002,13:30:50,0:00:23
021022K1KA,1499,36.076844,140.213663,10/22/2002,13:30:50,0:00:23
021022K1KA,1501,36.076845,140.213652,10/22/2002,13:30:51,0:00:24
021022K1KA,1503,36.076846,140.213641,10/22/2002,13:30:51,0:00:24
021022K1KA,1505,36.076847,140.21363,10/22/2002,13:30:51,0:00:24
021022K1KA,1507,36.076848,140.213619,10/22/2002,13:30:51,0:00:24
021022K1KA,1509,36.076849,140.213608,10/22/2002,13:30:51,0:00:24
021022K1KA,1511,36.07685,140.213597,10/22/2002,13:30:51,0:00:24
021022K1KA,1513,36.076851,140.213586,10/22/2002,13:30:51,0:00:24
021022K1KA,1515,36.076852,140.213575,10/22/2002,13:30:51,0:00:24
021022K1KA,1517,36.076853,140.213564,10/22/2002,13:30:51,0:00:24
021022K1KA,1519,36.076854,140.213553,10/22/2002,13:30:51,0:00:24
021022K1KA,1521,36.076855,140.213542,10/22/2002,13:30:51,0:00:24
021022K1KA,1523,36.076856,140.213531,10/22/2002,13:30:51,0:00:24
021022K1KA,1525,36.076857,140.21352,10/22/2002,13:30:51,0:00:24
021022K1KA,1527,36.076858,140.213509,10/22/2002,13:30:51,0:00:24
021022K1KA,1530,36.076859,140.213498,10/22/2002,13:30:52,0:00:25
021022K1KA,1532,36.07686,140.213487,10/22/2002,13:30:52,0:00:25
021022K1KA,1534,36.076861,140.213476,10/22/2002,13:30:52,0:00:25
021022K1KA,1536,36.076862,140.213465,10/22/2002,13:30:52,0:00:25
021022K1KA,1538,36.076863,140.213454,10/22/2002,13:30:52,0:00:25
021022K1KA,1540,36.076864,140.213442,10/22/2002,13:30:52,0:00:25
021022K1KA,1542,36.076865,140.213431,10/22/2002,13:30:52,0:00:25
021022K1KA,1544,36.076866,140.21342,10/22/2002,13:30:52,0:00:25
021022K1KA,1546,36.076867,140.213409,10/22/2002,13:30:52,0:00:25
021022K1KA,1548,36.076868,140.213398,10/22/2002,13:30:52,0:00:25
021022K1KA,1550,36.076869,140.213387,10/22/2002,13:30:52,0:00:25
021022K1KA,1552,36.07687,140.213376,10/22/2002,13:30:52,0:00:25
021022K1KA,1554,36.076871,140.213365,10/22/2002,13:30:52,0:00:25
021022K1KA,1556,36.076872,140.213354,10/22/2002,13:30:52,0:00:25
021022K1KA,1558,36.076874,140.213343,10/22/2002,13:30:52,0:00:25
